NAME	Hu28	Hu35	Hu40	Hu44	Hu51	Hu52	Hu53	Hu56	Hu63
DDX11L1	0	0	0	0	1.025659014	0	2.160159241	0	1.434664946
WASH7P	23.286576	26.39182511	13.62929967	27.2783999	13.33356718	36.17600771	24.84183127	28.99142038	27.25863397
MIR6859-1	1.1643288	5.46037761	4.193630667	6.418447036	10.25659014	1.644363987	9.720716583	1.610634466	12.91198451
MIR1302-2HG	0	0	0	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0
OR4G4P	0	0	0	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0
AL627309.1	2.3286576	0.910062935	1.048407667	12.03458819	1.025659014	3.288727973	10.8007962	0	2.869329891
AL627309.3	0	0	0	0	0	0	0	0	0
CICP27	0	0	0	0	0	0	0	0	0
AL627309.6	9.3146304	5.46037761	8.387261334	27.2783999	10.25659014	27.13200578	18.36135355	4.831903397	11.47731957
AL627309.7	4.6573152	12.74088109	7.338853668	17.65072935	7.179613095	21.37673183	15.12111468	8.85848956	8.607989674
AL627309.2	1.1643288	0	0	1.604611759	0	0.822181993	6.480477722	0	0
AL627309.5	8.1503016	7.280503479	4.193630667	4.813835277	10.25659014	11.51054791	27.00199051	8.053172328	1.434664946
RNU6-1100P	0	0	0	0	0	0	0	0	0
AL627309.4	0	0	0	0	0	0	0	0	0
FO538757.2	1.1643288	0	5.242038334	0.80230588	1.025659014	0	1.08007962	0	0
FO538757.1	22.1222472	51.87358729	31.45223	52.14988217	63.59085884	43.57564565	69.1250957	67.64664755	58.82126277
MIR6859-2	0	0	0	0.80230588	0	0	0	0	1.434664946
AP006222.1	18.6292608	7.280503479	15.726115	8.023058795	26.66713435	30.42073375	2.160159241	4.026586164	24.38930408
RPL23AP24	0	0.910062935	0	1.604611759	1.025659014	0	2.160159241	4.831903397	0
AL732372.1	0	0	0	0	0	0	0	0	0
AL732372.2	3.4929864	26.39182511	5.242038334	16.04611759	6.153954081	23.02109581	24.84183127	26.57546868	7.173324728
WBP1LP7	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0
CICP7	0	0	0	0	0	0	0	0	0
AL732372.3	0	0	0	1.604611759	0	0	1.08007962	2.415951698	0
RF00026	0	0	0	0	0	0	0	0	0
AL669831.3	3.4929864	0.910062935	8.387261334	12.83689407	5.128295068	5.755273953	10.8007962	14.49571019	14.34664946
AC114498.1	0	0	0	0	0	0	0	0	0
MTND1P23	31.4368776	10.92075522	15.726115	11.23228231	6.153954081	12.3327299	17.28127393	10.46912403	21.51997419
MTND2P28	270.1242816	1590.79001	384.7656137	2106.85524	215.3883928	342.0277092	253.8187108	282.6663487	375.8822158
MTCO1P12	160.6773744	170.1817688	379.5235754	160.4611759	259.4917304	326.4062514	213.8557648	225.4888252	274.0210046
MIR6723	0	0.910062935	0	0	0	0	0	0	0
MTCO2P12	38.4228504	37.31258033	53.46879101	32.09223518	48.20597364	38.64255369	30.24222937	30.60205485	53.08260299
MTATP8P1	0	0	0	0	0	0	0	0	0
MTATP6P1	2251.811899	2062.202611	3652.652311	1910.290299	2604.148235	2862.837701	2371.854846	2407.093209	3689.95824
MTCO3P12	27.9438912	12.74088109	31.45223	20.05764699	28.71845238	33.70946173	16.2011943	20.93824805	35.86662364
WBP1LP6	0	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0	0
CICP3	0	0	0	0	0	0	0	0	0
AL669831.1	43.0801656	61.88427957	59.75923701	89.8582585	73.84744897	98.6618392	79.9258919	152.204957	76.03724212
RNU6-1199P	0	0	0	0	1.025659014	0	0	0	0
AL669831.2	0	0	0	0	0	0	0	0	0
AL669831.5	19.7935896	24.57169924	8.387261334	22.46456463	13.33356718	12.3327299	14.04103506	20.93824805	21.51997419
AL669831.7	0	0	0	0	0	0	0	0	0
AL669831.4	17.464932	49.14339849	31.45223	56.16141157	25.64147534	25.48764179	28.08207013	24.96483422	11.47731957
FAM87B	0	0	0	0	0	0	0	0	0
LINC01128	78.0100296	88.27610469	61.85605234	83.43981147	70.77047193	61.6636495	66.96493646	57.17752353	44.47461332
LINC00115	15.1362744	12.74088109	19.91974567	17.65072935	5.128295068	27.95418777	8.640636963	33.01800654	34.4319587
FAM41C	8.1503016	13.65094402	0	11.23228231	3.076977041	0.822181993	2.160159241	14.49571019	7.173324728
TUBB8P11	0	0	3.145223	0	0	1.644363987	0	0	0
AL669831.6	0	0.910062935	0	0.80230588	0	0	0	0	0
AL645608.6	0	0	0	0	1.025659014	0	0	0	0
AL645608.2	0	0	1.048407667	0	1.025659014	0.822181993	0	0	0
AL645608.4	0	0	0	0	0	0	0	0	0
LINC02593	5.821644	0	0	0	0	0	0	0	10.04265462
SAMD11	3.4929864	1.82012587	0	0.80230588	1.025659014	0	5.400398102	0.805317233	0
NOC2L	734.6914728	684.3673271	687.7554294	769.4113384	642.0625425	721.8757902	721.4931864	612.0410969	690.0738389
KLHL17	48.9018096	58.24402783	33.54904534	52.95218805	49.23163265	60.84146751	68.04501608	53.15093736	61.69059266
PLEKHN1	16.3006032	17.29119576	39.83949134	16.84842347	25.64147534	23.02109581	44.28326443	17.71697912	27.25863397
PERM1	2.3286576	2.730188805	3.145223	4.813835277	2.051318027	3.288727973	9.720716583	4.026586164	15.7813144
